Module                  Size  Used by
mimodulo               12288  0
rfcomm                 98304  7
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_conntrack           12288  1
xt_MASQUERADE          16384  1
bridge                425984  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              65536  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 61440  1 xt_set
nft_chain_nat          12288  5
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          192512  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xt_addrtype            12288  4
nft_compat             20480  6
nf_tables             385024  57 nft_compat,nft_chain_nat
ccm                    20480  6
overlay               221184  0
qrtr                   53248  2
uhid                   24576  1
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
nls_iso8859_1          12288  1
amdgpu              20103168  40
snd_acp70              12288  0
snd_acp_i2s            16384  1 snd_acp70
snd_acp_pdm            12288  1 snd_acp70
snd_acp_pcm            12288  1 snd_acp70
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        61440  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_sof               401408  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             32768  0
snd_soc_acpi_amd_match    12288  3 snd_sof_amd_acp70,snd_sof_amd_acp63,snd_pci_ps
rtw89_8852be           12288  0
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
rtw89_8852b           372736  1 rtw89_8852be
snd_hda_codec_alc269   139264  1
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
snd_hda_codec_realtek_lib    65536  1 snd_hda_codec_alc269
soundwire_generic_allocation    24576  1 soundwire_amd
snd_hda_codec_atihdmi    24576  1
soundwire_bus        1175552  2 soundwire_generic_allocation,soundwire_amd
snd_hda_codec_generic   122880  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
amd_atl                69632  1
snd_hda_codec_hdmi     65536  1 snd_hda_codec_atihdmi
rtw89_8852b_common     73728  1 rtw89_8852b
snd_soc_sdca           90112  1 soundwire_bus
intel_rapl_msr         20480  0
snd_soc_core          417792  4 snd_sof,snd_soc_sdca,snd_acp_pcm,soundwire_amd
rtw89_pci             106496  1 rtw89_8852be
snd_hda_intel          61440  2
intel_rapl_common      53248  1 intel_rapl_msr
snd_compress           36864  1 snd_soc_core
snd_hda_codec         204800  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
rtw89_core           1167360  3 rtw89_8852b,rtw89_pci,rtw89_8852b_common
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      20480  1 snd_soc_core
snd_hda_core          143360  7 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
uvcvideo              143360  0
snd_intel_dspcfg       45056  2 snd_hda_intel,snd_sof
amdxcp                 12288  1 amdgpu
edac_mce_amd           28672  0
snd_rpl_pci_acp6x      16384  0
drm_panel_backlight_quirks    12288  1 amdgpu
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
btusb                  77824  0
snd_acp_pci            12288  0
drm_buddy              28672  1 amdgpu
videobuf2_vmalloc      20480  1 uvcvideo
snd_hwdep              24576  1 snd_hda_codec
uvc                    12288  1 uvcvideo
btrtl                  32768  1 btusb
drm_ttm_helper         16384  2 amdgpu
mac80211             1851392  2 rtw89_core,rtw89_pci
snd_amd_acpi_mach      12288  1 snd_acp_pci
snd_seq_midi           24576  0
ttm                   126976  2 amdgpu,drm_ttm_helper
btintel                69632  1 btusb
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_acp_legacy_common    28672  2 snd_acp70,snd_acp_pci
